Ano,Populacao,Desemprego,Renda_m2,Venda_m2,PSSA_populacao_desemprego,PSSA_populacao_renda,PSSA_populacao_venda,PSSA_desemprego_renda,PSSA_desemprego_venda,PSSA_renda_venda,PSSA_populacao_desemprego_renda,PSSA_populacao_desemprego_venda,PSSA_populacao_renda_venda,PSSA_desemprego_renda_venda,PSSA_quatro_variaveis
2024,4850000,0.07,10,2400,5361,5367,5051,4614,4611,4528,4556,4556,5367,4614,4556
2025,4900000,0.065,10.5,2450,5857,5808,5581,4713,4733,5207,4629,4629,5808,4713,4629
